layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 4, 17, 31]",250,contig_best,original,1.0,1.2,0.9804000127315521,0.9028,15000
"[0, 4, 17, 31]",250,contig_best,original,1.0,1.2,0.9104000014066697,0.9084,-3
"[0, 4, 17, 31]",250,contig_best,original,1.0,1.2,0.910400003194809,0.9082,-1
"[0, 4, 17, 31]",250,contig_best,original,1.0,1.2,0.9501000010967254,0.0989,-2
"[0, 4, 17, 31]",250,sparse_best,original,1.0,1.2,0.9868000102043152,0.9248,15000
"[0, 4, 17, 31]",250,sparse_best,original,1.0,1.2,0.9215000009536743,0.9279,-3
"[0, 4, 17, 31]",250,sparse_best,original,1.0,1.2,0.9215000021457672,0.9278,-1
"[0, 4, 17, 31]",250,sparse_best,original,1.0,1.2,0.9501000016927719,0.0989,-2
"[0, 4, 17, 31]",250,contig_random,original,1.0,1.2,0.9570000016689301,0.8138,15000
"[0, 4, 17, 31]",250,contig_random,original,1.0,1.2,0.89,0.8248,-3
"[0, 4, 17, 31]",250,contig_random,original,1.0,1.2,0.8899000000953674,0.8244,-1
"[0, 4, 17, 31]",250,contig_random,original,1.0,1.2,0.9501000028848648,0.0989,-2
