layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],1000,contig_best,original,1.1,0.47399999797344206,0.469,500
[0],1000,contig_best,original,1.1,0.9469999969005585,0.503,-2
[0],1000,contig_best,original,1.1,0.43199999779462817,0.469,-1
[0],10000,contig_best,original,1.1,0.46799999922513963,0.486,500
[0],10000,contig_best,original,1.1,0.9460000038146973,0.513,-2
[0],10000,contig_best,original,1.1,0.44699999690055847,0.489,-1
[1],1000,contig_best,original,1.1,0.4329999998211861,0.581,1000
[1],1000,contig_best,original,1.1,0.9509999990463257,0.504,-2
[1],1000,contig_best,original,1.1,0.4320000007748604,0.556,-1
[1],10000,contig_best,original,1.1,0.4809999972581863,0.622,2500
[1],10000,contig_best,original,1.1,0.9569999992847442,0.545,-2
[1],10000,contig_best,original,1.1,0.5250000029802322,0.638,-1
[2],1000,contig_best,original,1.1,0.5580000028014183,0.579,500
[2],1000,contig_best,original,1.1,0.9499999970197678,0.513,-2
[2],1000,contig_best,original,1.1,0.46899999529123304,0.568,-1
[2],10000,contig_best,original,1.1,0.83299999833107,0.825,2500
[2],10000,contig_best,original,1.1,0.948999997973442,0.524,-2
[2],10000,contig_best,original,1.1,0.7999999970197678,0.85,-1
[3],1000,contig_best,original,1.1,0.44799999594688417,0.545,2000
[3],1000,contig_best,original,1.1,0.953999999165535,0.532,-2
[3],1000,contig_best,original,1.1,0.419999997317791,0.533,-1
[3],10000,contig_best,original,1.1,0.7009999990463257,0.725,2500
[3],10000,contig_best,original,1.1,0.9519999951124192,0.531,-2
[3],10000,contig_best,original,1.1,0.6780000016093254,0.754,-1
[4],1000,contig_best,original,1.1,0.6370000094175339,0.526,500
[4],1000,contig_best,original,1.1,0.9560000002384186,0.551,-2
[4],1000,contig_best,original,1.1,0.48400000035762786,0.596,-1
[4],10000,contig_best,original,1.1,0.8589999973773956,0.925,2500
[4],10000,contig_best,original,1.1,0.9629999965429306,0.5,-2
[4],10000,contig_best,original,1.1,0.8829999923706054,0.912,-1
[5],1000,contig_best,original,1.1,0.5540000006556511,0.519,500
[5],1000,contig_best,original,1.1,0.9459999948740005,0.529,-2
[5],1000,contig_best,original,1.1,0.4700000032782555,0.527,-1
[5],10000,contig_best,original,1.1,0.760999995470047,0.827,2500
[5],10000,contig_best,original,1.1,0.9449999988079071,0.512,-2
[5],10000,contig_best,original,1.1,0.7699999988079071,0.801,-1
[6],1000,contig_best,original,1.1,0.5929999977350235,0.55,1000
[6],1000,contig_best,original,1.1,0.9439999967813492,0.548,-2
[6],1000,contig_best,original,1.1,0.5239999994635582,0.573,-1
[6],10000,contig_best,original,1.1,0.8589999884366989,0.897,2000
[6],10000,contig_best,original,1.1,0.9550000041723251,0.51,-2
[6],10000,contig_best,original,1.1,0.8739999979734421,0.913,-1
[7],1000,contig_best,original,1.1,0.509000001847744,0.501,1500
[7],1000,contig_best,original,1.1,0.9519999951124192,0.53,-2
[7],1000,contig_best,original,1.1,0.4550000011920929,0.507,-1
[7],10000,contig_best,original,1.1,0.8369999915361405,0.86,2500
[7],10000,contig_best,original,1.1,0.9439999967813492,0.516,-2
[7],10000,contig_best,original,1.1,0.8269999891519546,0.89,-1
[8],1000,contig_best,original,1.1,0.7539999902248382,0.515,500
[8],1000,contig_best,original,1.1,0.9540000021457672,0.503,-2
[8],1000,contig_best,original,1.1,0.5730000019073487,0.545,-1
[8],10000,contig_best,original,1.1,0.6590000063180923,0.736,2500
[8],10000,contig_best,original,1.1,0.9610000044107437,0.495,-2
[8],10000,contig_best,original,1.1,0.6620000034570694,0.734,-1
[9],1000,contig_best,original,1.1,0.6130000054836273,0.676,2500
[9],1000,contig_best,original,1.1,0.9590000003576279,0.527,-2
[9],1000,contig_best,original,1.1,0.6060000002384186,0.605,-1
[9],10000,contig_best,original,1.1,0.8579999923706054,0.892,2500
[9],10000,contig_best,original,1.1,0.9349999964237213,0.539,-2
[9],10000,contig_best,original,1.1,0.8539999932050705,0.899,-1
[10],1000,contig_best,original,1.1,0.8159999966621398,0.532,500
[10],1000,contig_best,original,1.1,0.9499999970197678,0.52,-2
[10],1000,contig_best,original,1.1,0.5559999987483024,0.554,-1
[10],10000,contig_best,original,1.1,0.5159999981522561,0.635,2500
[10],10000,contig_best,original,1.1,0.9399999976158142,0.527,-2
[10],10000,contig_best,original,1.1,0.5299999997019768,0.619,-1
[11],1000,contig_best,original,1.1,0.7990000009536743,0.56,500
[11],1000,contig_best,original,1.1,0.9469999969005585,0.519,-2
[11],1000,contig_best,original,1.1,0.5870000019669532,0.54,-1
[11],10000,contig_best,original,1.1,0.7280000060796737,0.786,2500
[11],10000,contig_best,original,1.1,0.9450000047683715,0.51,-2
[11],10000,contig_best,original,1.1,0.7420000016689301,0.805,-1
[12],1000,contig_best,original,1.1,0.9229999989271164,0.535,500
[12],1000,contig_best,original,1.1,0.9419999957084656,0.515,-2
[12],1000,contig_best,original,1.1,0.5710000023245811,0.511,-1
[12],10000,contig_best,original,1.1,0.7759999990463257,0.833,2500
[12],10000,contig_best,original,1.1,0.9519999921321869,0.546,-2
[12],10000,contig_best,original,1.1,0.7719999939203263,0.81,-1
[13],1000,contig_best,original,1.1,0.7690000027418137,0.532,500
[13],1000,contig_best,original,1.1,0.9479999959468841,0.535,-2
[13],1000,contig_best,original,1.1,0.5479999974370002,0.548,-1
[13],10000,contig_best,original,1.1,0.5769999995827675,0.64,2500
[13],10000,contig_best,original,1.1,0.9509999990463257,0.515,-2
[13],10000,contig_best,original,1.1,0.5970000132918358,0.641,-1
[14],1000,contig_best,original,1.1,0.9300000011920929,0.537,500
[14],1000,contig_best,original,1.1,0.9529999971389771,0.532,-2
[14],1000,contig_best,original,1.1,0.5579999998211861,0.538,-1
[14],10000,contig_best,original,1.1,0.7609999984502792,0.815,2500
[14],10000,contig_best,original,1.1,0.9559999942779541,0.521,-2
[14],10000,contig_best,original,1.1,0.7759999990463257,0.813,-1
[15],1000,contig_best,original,1.1,0.7619999945163727,0.555,500
[15],1000,contig_best,original,1.1,0.9480000048875808,0.508,-2
[15],1000,contig_best,original,1.1,0.5680000022053718,0.536,-1
[15],10000,contig_best,original,1.1,0.7929999947547912,0.842,2500
[15],10000,contig_best,original,1.1,0.9469999939203262,0.528,-2
[15],10000,contig_best,original,1.1,0.7799999952316284,0.824,-1
[16],1000,contig_best,original,1.1,0.9299999922513962,0.54,500
[16],1000,contig_best,original,1.1,0.9559999972581863,0.51,-2
[16],1000,contig_best,original,1.1,0.5310000002384185,0.539,-1
[16],10000,contig_best,original,1.1,0.7410000026226043,0.773,2500
[16],10000,contig_best,original,1.1,0.9629999965429306,0.534,-2
[16],10000,contig_best,original,1.1,0.7449999988079071,0.758,-1
[17],1000,contig_best,original,1.1,0.6430000126361847,0.541,500
[17],1000,contig_best,original,1.1,0.9499999940395355,0.529,-2
