layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",5,sparse_best,original,1.0,1.2,0.9547337218678209,0.5989644970414201,1000
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",5,sparse_best,original,1.0,1.2,0.9752228120856532,0.5251336898395722,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",5,sparse_best,original,1.0,1.2,0.9479500826667336,0.7108734402852049,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",5,sparse_best,original,1.0,1.2,0.9803921531440952,0.06916221033868093,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9519230701337905,0.6220414201183432,2000
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9513368909371728,0.7192513368983957,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9557932203041254,0.704812834224599,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9803921525066124,0.06916221033868093,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",25,sparse_best,original,1.0,1.2,0.9230769157586013,0.8869822485207101,2000
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",25,sparse_best,original,1.0,1.2,0.9074866230900063,0.9513368983957219,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",25,sparse_best,original,1.0,1.2,0.9042780677690013,0.9552584670231729,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",25,sparse_best,original,1.0,1.2,0.980392152931601,0.06916221033868093,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.9368343125786301,0.8612426035502958,1000
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.9941176457626084,0.5089126559714795,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.9645276240699007,0.7718360071301248,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.9803921530378481,0.06898395721925134,-2
