layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9612425971313341,0.9939349112426036,2000
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9973262025710733,0.9982174688057041,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9973262025710733,0.9982174688057041,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,sparse_best,original,1.0,1.2,0.9803921527191067,0.33137254901960783,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.95325443183882,0.9986686390532544,2000
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.9925133675177467,0.9994652406417113,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.9937611395449987,0.9991087344028521,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,sparse_best,original,1.0,1.2,0.9803921528253539,0.33119429590017824,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1000,sparse_best,original,1.0,1.2,0.9649408225124404,0.9998520710059171,1800
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1000,sparse_best,original,1.0,1.2,0.9989304810284293,1.0,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1000,sparse_best,original,1.0,1.2,1.0,1.0,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1000,sparse_best,original,1.0,1.2,0.9803921530378481,0.33119429590017824,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10000,sparse_best,original,1.0,1.2,0.9627218870721626,1.0,800
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10000,sparse_best,original,1.0,1.2,1.0,1.0,-3
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10000,sparse_best,original,1.0,1.2,1.0,1.0,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10000,sparse_best,original,1.0,1.2,0.9803921533565895,0.3315508021390374,-2
