layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
[0],10000,contig_best,original,0.2,1.2,0.9607692315028264,0.9938461538461538,1600
[0],10000,contig_best,original,0.2,1.2,0.9885714394705636,0.9521428571428572,-3
[0],10000,contig_best,original,0.2,1.2,0.9958928610597338,0.9630357142857143,-1
[0],10000,contig_best,original,0.2,1.2,0.9803571541394506,0.33107142857142857,-2
[1],10000,contig_best,original,0.2,1.2,0.9607692452577444,0.9961538461538462,1200
[1],10000,contig_best,original,0.2,1.2,0.997142859867641,0.9808928571428571,-3
[1],10000,contig_best,original,0.2,1.2,0.9980357161590031,0.9844642857142857,-1
[1],10000,contig_best,original,0.2,1.2,0.980357156268188,0.3314285714285714,-2
[2],10000,contig_best,original,0.2,1.2,0.9638461608153123,0.9830769230769231,1800
[2],10000,contig_best,original,0.2,1.2,0.9892857223749161,0.9933928571428572,-3
[2],10000,contig_best,original,0.2,1.2,0.9951785760266441,0.9883928571428572,-1
[2],10000,contig_best,original,0.2,1.2,0.9803571541394506,0.33071428571428574,-2
[3],10000,contig_best,original,0.2,1.2,0.9730769349978521,0.9838461538461538,600
[3],10000,contig_best,original,0.2,1.2,0.9978571449007306,0.9916071428571429,-3
[3],10000,contig_best,original,0.2,1.2,0.993571434702192,0.9839285714285714,-1
[3],10000,contig_best,original,0.2,1.2,0.980357153075082,0.33107142857142857,-2
[4],10000,contig_best,original,0.2,1.2,0.9607692406727717,1.0,2000
[4],10000,contig_best,original,0.2,1.2,0.994642861187458,0.9935714285714285,-3
[4],10000,contig_best,original,0.2,1.2,0.9950000047683716,0.9932142857142857,-1
[4],10000,contig_best,original,0.2,1.2,0.980357156268188,0.3316071428571429,-2
[5],10000,contig_best,original,0.2,1.2,0.9692307756497309,0.7561538461538462,2000
[5],10000,contig_best,original,0.2,1.2,0.9894642946975571,0.8471428571428572,-3
[5],10000,contig_best,original,0.2,1.2,0.9896428659558296,0.8473214285714286,-1
[5],10000,contig_best,original,0.2,1.2,0.9803571552038193,0.33107142857142857,-2
[6],10000,contig_best,original,0.2,1.2,0.9615384707084069,0.9930769230769231,2000
[6],10000,contig_best,original,0.2,1.2,0.9937500048960958,0.9916071428571429,-3
[6],10000,contig_best,original,0.2,1.2,0.9937500059604645,0.9916071428571429,-1
[6],10000,contig_best,original,0.2,1.2,0.9803571573325566,0.33107142857142857,-2
[7],10000,contig_best,original,0.2,1.2,0.9623076869891241,0.9938461538461538,1000
[7],10000,contig_best,original,0.2,1.2,0.9846428685954639,1.0,-3
[7],10000,contig_best,original,0.2,1.2,0.9994642862251827,0.9989285714285714,-1
[7],10000,contig_best,original,0.2,1.2,0.9803571541394506,0.3314285714285714,-2
[8],10000,contig_best,original,0.2,1.2,0.9476923117270837,0.9984615384615385,2000
[8],10000,contig_best,original,0.2,1.2,0.9917857221194676,0.9998214285714285,-3
[8],10000,contig_best,original,0.2,1.2,0.9926785784108298,0.9996428571428572,-1
[8],10000,contig_best,original,0.2,1.2,0.9803571552038193,0.33089285714285716,-2
[9],10000,contig_best,original,0.2,1.2,0.9700000102703388,0.3176923076923077,1000
[9],10000,contig_best,original,0.2,1.2,0.9976785736424583,0.5464285714285714,-3
[9],10000,contig_best,original,0.2,1.2,0.9975000023841858,0.5583928571428571,-1
[9],10000,contig_best,original,0.2,1.2,0.9803571520107133,0.3314285714285714,-2
