layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,contig_best,original,1.0,1.1,0.9993939399719238,0.0018181818181818182,1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,contig_best,original,1.0,1.1,0.980357156268188,0.0,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,contig_best,original,1.0,1.1,0.9807142966559955,0.0,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,contig_best,original,1.0,1.1,0.9996969699859619,0.0009090909090909091,1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,contig_best,original,1.0,1.1,0.980535722204617,0.0,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",100,contig_best,original,1.0,1.1,0.9808928689786366,0.0,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1000,contig_best,original,1.0,1.1,0.9996969699859619,0.0009090909090909091,1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1000,contig_best,original,1.0,1.1,0.980357149881976,0.0,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",1000,contig_best,original,1.0,1.1,0.9841071537562779,0.0,-1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10000,contig_best,original,1.0,1.1,0.9981818199157715,0.0015151515151515152,1
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10000,contig_best,original,1.0,1.1,0.9803571541394506,0.0,-2
"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10000,contig_best,original,1.0,1.1,0.985357149371079,0.0,-1
