layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,1.2,0.09800000190734863,0.0543,-2
[0],10,contig_best,original,1.1,0.0975000023841858,0.0533,-1
[0],1000,contig_best,original,0.5,0,0,0
[0],1000,contig_best,original,1.2,0.0977999985218048,0.0533,-2
[0],1000,contig_best,original,1.1,0.09720000028610229,0.0548,-1
[1],10,contig_best,original,0.5,0,0,0
[1],10,contig_best,original,1.2,0.09800000190734863,0.0536,-2
[1],10,contig_best,original,1.1,0.09739999771118164,0.0536,-1
[1],1000,contig_best,original,0.5,0,0,0
[1],1000,contig_best,original,1.2,0.0981000006198883,0.0542,-2
[1],1000,contig_best,original,1.1,0.0981000006198883,0.0557,-1
[2],10,contig_best,original,0.5,0,0,0
[2],10,contig_best,original,1.2,0.09720000028610229,0.0545,-2
[2],10,contig_best,original,1.1,0.09729999899864197,0.0535,-1
[2],1000,contig_best,original,0.5,0,0,0
[2],1000,contig_best,original,1.2,0.0977999985218048,0.0536,-2
[2],1000,contig_best,original,1.1,0.09729999899864197,0.0556,-1
[3],10,contig_best,original,0.5,0,0,0
[3],10,contig_best,original,1.2,0.0968999981880188,0.0516,-2
[3],10,contig_best,original,1.1,0.09789999723434448,0.0535,-1
[3],1000,contig_best,original,0.5,0,0,0
[3],1000,contig_best,original,1.2,0.09639999866485596,0.0535,-2
[3],1000,contig_best,original,1.1,0.09700000286102295,0.0553,-1
"[0, 1, 2, 3]",10,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",10,contig_best,original,1.2,0.0975000023841858,0.0543,-2
"[0, 1, 2, 3]",10,contig_best,original,1.1,0.0977999985218048,0.0535,-1
"[0, 1, 2, 3]",1000,contig_best,original,0.5,0,0,0
"[0, 1, 2, 3]",1000,contig_best,original,1.2,0.09769999980926514,0.053,-2
"[0, 1, 2, 3]",1000,contig_best,original,1.1,0.09769999980926514,0.0556,-1
