layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9972727266224948,0.9997272727272727,6600
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9913999981880188,0.9991,-3
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9906999979019165,0.9995,-1
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9936363621191545,0.9963636363636363,8000
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9904999982118606,0.9974,-3
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9903999978899956,0.9973,-1
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9923999983668327,0.0893,-2
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,1.0,0.9545454545454546,1100
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,0.9841999967098236,0.9608,-3
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,0.9836999968886375,0.9303,-1
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,0.9923999983668327,0.0893,-2
