layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.8806363565813411,0.2555454545454545,9800
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.8814999939799308,0.2425,-3
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.8758999937176705,0.2494,-1
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.9923999982476235,0.0893,-2
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9882727249102159,0.986909090909091,9900
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9823999964594841,0.986,-3
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9820999965071678,0.9865,-1
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9976363630728288,1.0,8700
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.991499998152256,0.9997,-3
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9912999981045723,0.9995,-1
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9923999983668327,0.0893,-2
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.9983636359734969,0.9999090909090909,2400
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.9902999978065491,1.0,-3
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.9916999981999397,0.9998,-1
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.2,0.9923999982476235,0.0893,-2
