layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9988181815906004,0.08863636363636364,200
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9043999928236007,0.1543,-3
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9915999980568886,0.0896,-1
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9987272724238309,0.0910909090909091,1
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9072999928593636,0.1164,-3
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9923999982476235,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.992399998486042,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.9157272654229944,0.1769090909090909,2500
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.918599992632866,0.1598,-3
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.9185999937653542,0.1598,-1
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.992399998486042,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9993636362119155,0.09081818181818181,200
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.909899992108345,0.1227,-3
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9918999983668327,0.0897,-1
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9923999984264373,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.8,original,1.0,1.2,0.8977272653850642,0.192,2500
