layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9984545450860803,0.09218181818181818,1
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.8948999928832054,0.1669,-3
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9923999983072281,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9923999983668327,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.9989090906489979,0.09163636363636364,1
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.9380999929904937,0.1192,-3
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.9923999982476235,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.992399998486042,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9989999997615814,0.09136363636363637,1
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.8913999924361706,0.1412,-3
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9923999983668327,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.9980909086899324,0.089,1
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.8812999927699566,0.1773,-3
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.9923999982476235,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.9982727268609134,0.09609090909090909,1
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.8908999934196472,0.1573,-3
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.9923999983072281,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.9923999981880188,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.999090908874165,0.09027272727272727,1
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.916099993109703,0.1372,-3
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.9923999984264373,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9052727196433328,0.18572727272727274,2500
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9076999930143357,0.1787,-3
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9077999919652939,0.1787,-1
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.7,original,1.0,1.2,0.9135454474254088,0.211,2500
"[0, 1, 2, 3]",10,contig_percentile-0.7,original,1.0,1.2,0.9111999904215335,0.196,-3
"[0, 1, 2, 3]",10,contig_percentile-0.7,original,1.0,1.2,0.9111999924778938,0.1959,-1
"[0, 1, 2, 3]",10,contig_percentile-0.7,original,1.0,1.2,0.9923999986052513,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.8,original,1.0,1.2,0.9989999997615814,0.08818181818181818,1
"[0, 1, 2, 3]",10,contig_percentile-0.8,original,1.0,1.2,0.875999992787838,0.1837,-3
"[0, 1, 2, 3]",10,contig_percentile-0.8,original,1.0,1.2,0.9923999984264373,0.0893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.8,original,1.0,1.2,0.9923999983668327,0.0893,-2
"[0, 1, 2, 3]",10,contig_percentile-0.9,original,1.0,1.2,0.9987272724238309,0.09463636363636363,1
"[0, 1, 2, 3]",10,contig_percentile-0.9,original,1.0,1.2,0.8938999924063683,0.1581,-3
"[0, 1, 2, 3]",10,contig_percentile-0.9,original,1.0,1.2,0.9923999981880188,0.0893,-1
