layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.8794545392014763,0.22772727272727272,2500
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.8804999933242798,0.2168,-3
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.8802999926805496,0.2169,-1
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",10,contig_best_2,original,1.0,1.2,0.8925454472682692,0.21663636363636363,2500
"[0, 1, 2, 3]",10,contig_best_2,original,1.0,1.2,0.8984999928474426,0.2012,-3
"[0, 1, 2, 3]",10,contig_best_2,original,1.0,1.2,0.8983999927043915,0.2013,-1
"[0, 1, 2, 3]",10,contig_best_2,original,1.0,1.2,0.9923999984264373,0.0893,-2
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9539090846885334,0.7759090909090909,2500
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9476999930143356,0.7751,-3
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9472999933958054,0.7752,-1
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.2,0.9923999984264373,0.0893,-2
"[0, 1, 2, 3]",100,contig_best_2,original,1.0,1.2,0.9350909007679332,0.6777272727272727,2500
"[0, 1, 2, 3]",100,contig_best_2,original,1.0,1.2,0.9355999919176101,0.6738,-3
"[0, 1, 2, 3]",100,contig_best_2,original,1.0,1.2,0.9355999934673309,0.6739,-1
"[0, 1, 2, 3]",100,contig_best_2,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9956363626501777,0.9984545454545455,2300
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.990099997997284,0.9953,-3
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9902999977469444,0.9983,-1
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",1000,contig_best_2,original,1.0,1.2,0.9954545445333828,0.9982727272727273,2200
"[0, 1, 2, 3]",1000,contig_best_2,original,1.0,1.2,0.9895999979376793,0.9964,-3
"[0, 1, 2, 3]",1000,contig_best_2,original,1.0,1.2,0.9881999976038933,0.9975,-1
"[0, 1, 2, 3]",1000,contig_best_2,original,1.0,1.2,0.9923999983668327,0.0893,-2
