layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9043636293302882,0.5153636363636364,20000
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9047999925613404,0.4993,-3
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9046999931931495,0.4993,-1
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9923999982476235,0.0893,-2
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9863636336543343,0.9780909090909091,20000
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9782999958992005,0.9743,-3
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9782999957799912,0.9744,-1
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9923999983668327,0.0893,-2
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.993181816610423,0.9918181818181818,20000
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.9863999970555305,0.9922,-3
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.9863999972343445,0.9922,-1
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.9923999981880188,0.0893,-2
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9975454540144314,0.9994545454545455,20000
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9907999978661537,0.9993,-3
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9906999980211257,0.9993,-1
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
