layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9667272673411803,0.8745454545454545,20000
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9666999944448471,0.8641,-3
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9665999941825867,0.8641,-1
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9923999983668327,0.0893,-2
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9983636359734969,0.9999090909090909,20000
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.991499998152256,0.9999,-3
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9914999982118606,0.9999,-1
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9923999982476235,0.0893,-2
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9980909086899324,0.9999090909090909,10000
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9901999977827072,0.9999,-3
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9920999984145165,0.9998,-1
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.9967272720011798,1.0,20000
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.9918999983072281,1.0,-3
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.9918999983072281,1.0,-1
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
