layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1]",100,contig_best,original,1.0,1.2,0.9649090857397427,0.8760909090909091,20000
"[0, 1]",100,contig_best,original,1.0,1.2,0.9610999942421913,0.883,-3
"[0, 1]",100,contig_best,original,1.0,1.2,0.9611999940276146,0.8824,-1
"[0, 1]",100,contig_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
"[0, 2]",100,contig_best,original,1.0,1.2,0.922727265195413,0.39590909090909093,20000
"[0, 2]",100,contig_best,original,1.0,1.2,0.9192999920248985,0.3886,-3
"[0, 2]",100,contig_best,original,1.0,1.2,0.9200999924540519,0.3865,-1
"[0, 2]",100,contig_best,original,1.0,1.2,0.9923999983668327,0.0893,-2
"[0, 3]",100,contig_best,original,1.0,1.2,0.9866363608837128,0.9893636363636363,20000
"[0, 3]",100,contig_best,original,1.0,1.2,0.9837999968528748,0.9886,-3
"[0, 3]",100,contig_best,original,1.0,1.2,0.9838999966979027,0.9885,-1
"[0, 3]",100,contig_best,original,1.0,1.2,0.9923999983072281,0.0893,-2
