layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.1,0.7359090918844396,0.48309090909090907,6900
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.1,0.9775000125169754,0.0875,-2
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.1,0.7479999995231629,0.4656,-1
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.1,0.9142727293751457,0.9943636363636363,9400
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.1,0.9775000149011612,0.0875,-2
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.1,0.9200999999046325,0.9929,-1
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.1,0.9840909199281173,0.9991818181818182,6900
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.1,0.9775000071525574,0.0875,-2
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.1,0.9841000109910965,0.9991,-1
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.1,0.9910909170454199,1.0,5900
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.1,0.9775000101327896,0.0875,-2
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.1,0.9885000091791153,1.0,-1
