layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
[0],10,contig_best,original,1.0,1.1,0.9878181907263669,0.08454545454545455,1
[0],10,contig_best,original,1.0,1.1,0.9775000107288361,0.0875,-2
[0],10,contig_best,original,1.0,1.1,0.9778000092506409,0.0875,-1
[0],10,sparse_best,original,1.0,1.1,0.9880909177390012,0.09018181818181818,1
[0],10,sparse_best,original,1.0,1.1,0.977500011920929,0.0875,-2
[0],10,sparse_best,original,1.0,1.1,0.9776000106334686,0.0875,-1
[0],10,contig_random,original,1.0,1.1,0.9881818274656932,0.0849090909090909,34
[0],10,contig_random,original,1.0,1.1,0.9775000095367432,0.0875,-2
[0],10,contig_random,original,1.0,1.1,0.9771000081300736,0.08789999999999999,-1
[0],100,contig_best,original,1.0,1.1,0.8305454541336407,0.3033636363636364,2500
[0],100,contig_best,original,1.0,1.1,0.9775000101327896,0.0875,-2
[0],100,contig_best,original,1.0,1.1,0.8379999989271164,0.2918,-1
[0],100,sparse_best,original,1.0,1.1,0.9869091012261131,0.08572727272727272,1
[0],100,sparse_best,original,1.0,1.1,0.9775000101327896,0.0875,-2
[0],100,sparse_best,original,1.0,1.1,0.9775000095367432,0.0876,-1
[0],100,contig_random,original,1.0,1.1,0.9886969790314183,0.08596969696969696,1
[0],100,contig_random,original,1.0,1.1,0.9775000109275183,0.0875,-2
[0],100,contig_random,original,1.0,1.1,0.9776666760444641,0.08746666666666666,-1
[0],1000,contig_best,original,1.0,1.1,0.9222727298736573,0.5636363636363636,2500
[0],1000,contig_best,original,1.0,1.1,0.977500011920929,0.0875,-2
[0],1000,contig_best,original,1.0,1.1,0.9263000029325485,0.5519,-1
[0],1000,sparse_best,original,1.0,1.1,0.9258181848309257,0.5369090909090909,2400
[0],1000,sparse_best,original,1.0,1.1,0.9775000107288361,0.0875,-2
[0],1000,sparse_best,original,1.0,1.1,0.9270000010728836,0.5263,-1
[0],1000,contig_random,original,1.0,1.1,0.9068484875288877,0.5775757575757575,2366
[0],1000,contig_random,original,1.0,1.1,0.9775000103314718,0.0875,-2
[0],1000,contig_random,original,1.0,1.1,0.9162666694323222,0.5742,-1
[0],10000,contig_best,original,1.0,1.1,0.9049090938134627,0.5796363636363636,2300
[0],10000,contig_best,original,1.0,1.1,0.9775000125169754,0.0875,-2
[0],10000,contig_best,original,1.0,1.1,0.9137000036239624,0.567,-1
[0],10000,sparse_best,original,1.0,1.1,0.9158181873234835,0.5257272727272727,2400
[0],10000,sparse_best,original,1.0,1.1,0.9775000095367432,0.0875,-2
[0],10000,sparse_best,original,1.0,1.1,0.9167000037431717,0.5216,-1
[0],10000,contig_random,original,1.0,1.1,0.9202121234301365,0.5624242424242424,2466
[0],10000,contig_random,original,1.0,1.1,0.9775000099341075,0.0875,-2
[0],10000,contig_random,original,1.0,1.1,0.9248666669925054,0.5431666666666667,-1
[1],10,contig_best,original,1.0,1.1,0.9906363720243627,0.09045454545454545,200
[1],10,contig_best,original,1.0,1.1,0.9775000095367432,0.0875,-2
[1],10,contig_best,original,1.0,1.1,0.9782000118494034,0.0879,-1
[1],10,sparse_best,original,1.0,1.1,0.9894545544277538,0.08627272727272728,200
[1],10,sparse_best,original,1.0,1.1,0.9775000101327896,0.0875,-2
[1],10,sparse_best,original,1.0,1.1,0.9762000095844269,0.0875,-1
[1],10,contig_random,original,1.0,1.1,0.9885454638437792,0.08503030303030303,1000
[1],10,contig_random,original,1.0,1.1,0.9775000101327896,0.0875,-2
[1],10,contig_random,original,1.0,1.1,0.9776666762431463,0.08746666666666666,-1
[1],100,contig_best,original,1.0,1.1,0.9881818267432126,0.08890909090909091,100
[1],100,contig_best,original,1.0,1.1,0.9775000107288361,0.0875,-2
[1],100,contig_best,original,1.0,1.1,0.9790000104904175,0.0898,-1
[1],100,sparse_best,original,1.0,1.1,0.9882727368311448,0.0870909090909091,1
[1],100,sparse_best,original,1.0,1.1,0.977500011920929,0.0875,-2
[1],100,sparse_best,original,1.0,1.1,0.9778000092506409,0.0875,-1
[1],100,contig_random,original,1.0,1.1,0.9881515250061498,0.093,266
[1],100,contig_random,original,1.0,1.1,0.9775000103314717,0.0875,-2
[1],100,contig_random,original,1.0,1.1,0.9774333433310191,0.0882,-1
[1],1000,contig_best,original,1.0,1.1,0.8885454567995938,0.5263636363636364,2500
[1],1000,contig_best,original,1.0,1.1,0.9775000101327896,0.0875,-2
[1],1000,contig_best,original,1.0,1.1,0.8917000025510788,0.514,-1
[1],1000,sparse_best,original,1.0,1.1,0.8886363663456657,0.47554545454545455,2500
[1],1000,sparse_best,original,1.0,1.1,0.9775000089406967,0.0875,-2
[1],1000,sparse_best,original,1.0,1.1,0.893899997472763,0.4626,-1
[1],1000,contig_random,original,1.0,1.1,0.8961212141947312,0.6948787878787879,2500
[1],1000,contig_random,original,1.0,1.1,0.9775000109275183,0.0875,-2
[1],1000,contig_random,original,1.0,1.1,0.8956333337227503,0.6891333333333334,-1
[1],10000,contig_best,original,1.0,1.1,0.962090915441513,0.9765454545454545,2500
[1],10000,contig_best,original,1.0,1.1,0.9775000113248825,0.0875,-2
[1],10000,contig_best,original,1.0,1.1,0.9646000057458878,0.9775,-1
[1],10000,sparse_best,original,1.0,1.1,0.9650909174572337,0.9858181818181818,2500
[1],10000,sparse_best,original,1.0,1.1,0.9775000131130218,0.0875,-2
[1],10000,sparse_best,original,1.0,1.1,0.9666000062227249,0.9848,-1
[1],10000,contig_random,original,1.0,1.1,0.9676060669349902,0.9890909090909091,2466
[1],10000,contig_random,original,1.0,1.1,0.9775000113248825,0.0875,-2
[1],10000,contig_random,original,1.0,1.1,0.9680333403746287,0.9884666666666667,-1
[2],10,contig_best,original,1.0,1.1,0.98681819005446,0.09563636363636363,700
[2],10,contig_best,original,1.0,1.1,0.9775000107288361,0.0875,-2
[2],10,contig_best,original,1.0,1.1,0.9760000085830689,0.0894,-1
[2],10,sparse_best,original,1.0,1.1,0.9892727364193309,0.09036363636363637,100
[2],10,sparse_best,original,1.0,1.1,0.9775000083446502,0.0875,-2
[2],10,sparse_best,original,1.0,1.1,0.9774000096321106,0.0871,-1
[2],10,contig_random,original,1.0,1.1,0.9904545545578003,0.0853939393939394,1533
[2],10,contig_random,original,1.0,1.1,0.9775000097354254,0.0875,-2
[2],10,contig_random,original,1.0,1.1,0.9777000109354654,0.0876,-1
[2],100,contig_best,original,1.0,1.1,0.9895454634319653,0.08836363636363637,200
[2],100,contig_best,original,1.0,1.1,0.9775000095367432,0.0875,-2
[2],100,contig_best,original,1.0,1.1,0.9781000107526779,0.0876,-1
[2],100,sparse_best,original,1.0,1.1,0.9879091008142992,0.08827272727272727,1
[2],100,sparse_best,original,1.0,1.1,0.977500011920929,0.0875,-2
[2],100,sparse_best,original,1.0,1.1,0.9775000125169754,0.0875,-1
[2],100,contig_random,original,1.0,1.1,0.9845151603221893,0.09363636363636364,1533
[2],100,contig_random,original,1.0,1.1,0.9775000101327896,0.0875,-2
[2],100,contig_random,original,1.0,1.1,0.973266676068306,0.093,-1
[2],1000,contig_best,original,1.0,1.1,0.9582727302204479,0.16763636363636364,2500
[2],1000,contig_best,original,1.0,1.1,0.9775000089406967,0.0875,-2
[2],1000,contig_best,original,1.0,1.1,0.9535000008344651,0.164,-1
[2],1000,sparse_best,original,1.0,1.1,0.9902727354656566,0.08927272727272727,1
[2],1000,sparse_best,original,1.0,1.1,0.9775000101327896,0.0875,-2
[2],1000,sparse_best,original,1.0,1.1,0.9773000091314316,0.0875,-1
[2],1000,contig_random,original,1.0,1.1,0.9836363723783782,0.09242424242424242,1833
[2],1000,contig_random,original,1.0,1.1,0.9775000099341075,0.0875,-2
[2],1000,contig_random,original,1.0,1.1,0.9747333427270253,0.09653333333333333,-1
[2],10000,contig_best,original,1.0,1.1,0.947363639419729,0.4391818181818182,2300
[2],10000,contig_best,original,1.0,1.1,0.9775000089406967,0.0875,-2
[2],10000,contig_best,original,1.0,1.1,0.9470000022649765,0.4248,-1
[2],10000,sparse_best,original,1.0,1.1,0.9505454551089894,0.6944545454545454,2500
