layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],0,contig_best,original,1.1,0.9684999883174896,0.0945,3000
[0],0,contig_best,original,1.1,0.979500025510788,0.086,-2
[0],0,contig_best,original,1.1,0.9729999899864197,0.0945,-1
[0],10,contig_best,original,1.1,0.7110000252723694,0.413,5000
[0],10,contig_best,original,1.1,0.9745000004768372,0.087,-2
[0],10,contig_best,original,1.1,0.7004999816417694,0.4065,-1
[0],20,contig_best,original,1.1,0.6400000154972076,0.506,4000
[0],20,contig_best,original,1.1,0.9749999940395355,0.095,-2
[0],20,contig_best,original,1.1,0.6344999969005585,0.5105,-1
[0],30,contig_best,original,1.1,0.6414999961853027,0.5155,5000
[0],30,contig_best,original,1.1,0.9730000197887421,0.0815,-2
[0],30,contig_best,original,1.1,0.6414999961853027,0.5015,-1
[0],40,contig_best,original,1.1,0.6455000042915344,0.553,4000
[0],40,contig_best,original,1.1,0.973499983549118,0.079,-2
[0],40,contig_best,original,1.1,0.6315000057220459,0.563,-1
[0],50,contig_best,original,1.1,0.6424999833106995,0.594,3000
[0],50,contig_best,original,1.1,0.9749999940395355,0.085,-2
[0],50,contig_best,original,1.1,0.6350000202655792,0.592,-1
[0],60,contig_best,original,1.1,0.6739999949932098,0.623,5000
[0],60,contig_best,original,1.1,0.976500004529953,0.094,-2
[0],60,contig_best,original,1.1,0.6649999916553497,0.594,-1
[0],70,contig_best,original,1.1,0.6989999711513519,0.6975,5000
[0],70,contig_best,original,1.1,0.973499983549118,0.086,-2
[0],70,contig_best,original,1.1,0.6819999814033508,0.711,-1
[0],80,contig_best,original,1.1,0.69200000166893,0.7315,5000
[0],80,contig_best,original,1.1,0.9769999980926514,0.093,-2
[0],80,contig_best,original,1.1,0.7209999859333038,0.719,-1
[0],90,contig_best,original,1.1,0.7534999847412109,0.7795,5000
[0],90,contig_best,original,1.1,0.9749999940395355,0.091,-2
[0],90,contig_best,original,1.1,0.7155000269412994,0.795,-1
[0],100,contig_best,original,1.1,0.7464999854564667,0.7755,5000
[0],100,contig_best,original,1.1,0.9740000069141388,0.089,-2
[0],100,contig_best,original,1.1,0.7524999976158142,0.777,-1
[1],0,contig_best,original,1.1,0.9769999980926514,0.0945,4000
[1],0,contig_best,original,1.1,0.973499983549118,0.0915,-2
[1],0,contig_best,original,1.1,0.9769999980926514,0.085,-1
[1],10,contig_best,original,1.1,0.6379999816417694,0.4625,5000
[1],10,contig_best,original,1.1,0.9634999930858612,0.09,-2
[1],10,contig_best,original,1.1,0.6259999871253967,0.4545,-1
[1],20,contig_best,original,1.1,0.612500011920929,0.5235,4000
[1],20,contig_best,original,1.1,0.9749999940395355,0.089,-2
[1],20,contig_best,original,1.1,0.5949999988079071,0.5095,-1
[1],30,contig_best,original,1.1,0.6164999902248383,0.548,5000
[1],30,contig_best,original,1.1,0.9760000109672546,0.088,-2
[1],30,contig_best,original,1.1,0.6009999811649323,0.5485,-1
[1],40,contig_best,original,1.1,0.6340000033378601,0.5655,4000
[1],40,contig_best,original,1.1,0.9740000069141388,0.087,-2
[1],40,contig_best,original,1.1,0.6225000023841858,0.5655,-1
[1],50,contig_best,original,1.1,0.6100000143051147,0.63,5000
[1],50,contig_best,original,1.1,0.9754999876022339,0.0865,-2
[1],50,contig_best,original,1.1,0.6164999902248383,0.63,-1
[1],60,contig_best,original,1.1,0.6489999890327454,0.6565,5000
[1],60,contig_best,original,1.1,0.9794999957084656,0.092,-2
[1],60,contig_best,original,1.1,0.6579999923706055,0.655,-1
[1],70,contig_best,original,1.1,0.6689999997615814,0.6725,5000
[1],70,contig_best,original,1.1,0.9735000133514404,0.085,-2
[1],70,contig_best,original,1.1,0.6545000076293945,0.6635,-1
[1],80,contig_best,original,1.1,0.6559999883174896,0.699,5000
[1],80,contig_best,original,1.1,0.9709999859333038,0.095,-2
[1],80,contig_best,original,1.1,0.6644999980926514,0.683,-1
[1],90,contig_best,original,1.1,0.6570000052452087,0.6905,5000
[1],90,contig_best,original,1.1,0.9724999964237213,0.086,-2
[1],90,contig_best,original,1.1,0.6555000245571136,0.6625,-1
[1],100,contig_best,original,1.1,0.6740000247955322,0.684,5000
