layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],10,contig_best,original,0.5,0.9649999976158142,0.7439,1000
[0],10,contig_best,original,1.2,0.9685000002384185,0.7437,-2
[0],10,contig_best,original,1.1,0.8339999973773956,0.7778,-1
[0],1000,contig_best,original,0.5,0.9587999939918518,0.966,10000
[0],1000,contig_best,original,1.2,0.9685000061988831,0.739,-2
[0],1000,contig_best,original,1.1,0.9588000059127808,0.9641,-1
[1],10,contig_best,original,0.5,0.9629000008106232,0.7427,1000
[1],10,contig_best,original,1.2,0.9684999942779541,0.7407,-2
[1],10,contig_best,original,1.1,0.8313999950885773,0.8097,-1
[1],1000,contig_best,original,0.5,0.8906000018119812,0.9155,10000
[1],1000,contig_best,original,1.2,0.9685000002384185,0.7405,-2
[1],1000,contig_best,original,1.1,0.8903999924659729,0.9149,-1
[2],10,contig_best,original,0.5,0.9633999943733216,0.744,3000
[2],10,contig_best,original,1.2,0.9685000002384185,0.7431,-2
[2],10,contig_best,original,1.1,0.9376000046730042,0.7329,-1
[2],1000,contig_best,original,0.5,0.7987000048160553,0.8396,10000
[2],1000,contig_best,original,1.2,0.9685000121593476,0.7428,-2
[2],1000,contig_best,original,1.1,0.7947999954223632,0.8421,-1
