layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9968023248190103,0.9965116279069768,9900
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9611999940872192,0.9748,-3
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.9521999933123588,0.9846,-1
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.2,0.965399994134903,0.5407,-2
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9911764702376198,0.9941176470588236,6200
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9563999942541123,0.9469,-3
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9561999935507774,0.9477,-1
"[0, 1, 2, 3]",1000,contig_best,original,0.1,1.2,0.9653999945521354,0.5407,-2
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,1.0,0.9666666666666667,6200
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,0.9502999936938286,0.8937,-3
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,0.948899993121624,0.8892,-1
"[0, 1, 2, 3]",1000,contig_best,original,0.01,1.2,0.9653999944329261,0.5407,-2
