layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9933139518942944,0.6633720930232558,5000
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9423999925851821,0.5893,-3
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9423999927639961,0.5893,-1
"[0, 1, 2, 3]",10,contig_percentile-0.0,original,1.0,1.2,0.9653999944925308,0.5407,-2
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.9918604631756627,0.6709302325581395,5000
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.9366999928355217,0.5909,-3
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.9366999928355217,0.5909,-1
"[0, 1, 2, 3]",10,contig_percentile-0.1,original,1.0,1.2,0.9653999943733216,0.5407,-2
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.999127906768821,0.6645348837209303,1
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9098999927639961,0.5991,-3
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9653999941945076,0.5407,-1
"[0, 1, 2, 3]",10,contig_percentile-0.2,original,1.0,1.2,0.9653999942541123,0.5407,-2
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.9665697625903196,0.7063953488372093,5000
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.8869999932646752,0.6317,-3
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.8869999923706055,0.6316,-1
"[0, 1, 2, 3]",10,contig_percentile-0.3,original,1.0,1.2,0.965399994134903,0.5407,-2
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.9601744117085323,0.7177325581395348,5000
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.8914999929666519,0.6426,-3
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.891499992609024,0.6426,-1
"[0, 1, 2, 3]",10,contig_percentile-0.4,original,1.0,1.2,0.9653999945521354,0.5407,-2
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.9561046452023262,0.7220930232558139,5000
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.8534999940395355,0.6927,-3
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.8534999932944775,0.6927,-1
"[0, 1, 2, 3]",10,contig_percentile-0.5,original,1.0,1.2,0.9653999940752983,0.5407,-2
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9616279014667799,0.7880813953488373,5000
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.8515999950766563,0.7797,-3
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.8516999949812889,0.7797,-1
"[0, 1, 2, 3]",10,contig_percentile-0.6,original,1.0,1.2,0.9653999943137169,0.5407,-2
