layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9889534859116688,0.9747093023255814,20000
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9356999922394752,0.9512,-3
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9356999924778938,0.9512,-1
"[0, 1, 2, 3]",5,sparse_best,original,1.0,1.2,0.9653999944925308,0.5407,-2
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9906976723740267,0.9747093023255814,10000
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9473999930024147,0.9501,-3
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9417999926805496,0.9479,-1
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.965399994134903,0.5407,-2
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.9970930225627367,0.9930232558139535,20000
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.9549999937415123,0.9602,-3
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.9549999930858613,0.9605,-1
"[0, 1, 2, 3]",25,sparse_best,original,1.0,1.2,0.9653999941945076,0.5407,-2
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9970930225627367,0.9976744186046511,20000
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9622999939918518,0.9802,-3
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9622999936342239,0.9802,-1
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.965399994134903,0.5407,-2
