layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9874999973663064,0.9758720930232558,15000
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.931299992442131,0.9427,-3
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9294999932050705,0.9419,-1
"[0, 1, 2, 3]",10,sparse_best,original,1.0,1.2,0.9653999941945076,0.5407,-2
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9976744180501893,0.9973837209302325,20000
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9620999935269355,0.9776,-3
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9619999942779541,0.9776,-1
"[0, 1, 2, 3]",100,sparse_best,original,1.0,1.2,0.9653999943733216,0.5407,-2
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9962209293315577,0.9979651162790698,20000
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9614999940395356,0.9783,-3
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9614999941587448,0.9783,-1
"[0, 1, 2, 3]",1000,sparse_best,original,1.0,1.2,0.9653999943137169,0.5407,-2
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.9968023249922797,0.9973837209302325,10000
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.9649999948143959,0.9785,-3
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.963999994456768,0.9828,-1
"[0, 1, 2, 3]",10000,sparse_best,original,1.0,1.2,0.9653999945521354,0.5407,-2
