layer_combo,sparsity,k_mode,trigger,data_perc,ratio,clean_acc,trojan_acc,steps
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.1,0.9891176539308885,0.9744117647058823,9900
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.1,0.967500005364418,0.5308,-2
"[0, 1, 2, 3]",10,contig_best,original,1.0,1.1,0.9370999979972839,0.9327,-1
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.1,0.9991176479003009,0.9958823529411764,9400
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.1,0.9675000101327896,0.5308,-2
"[0, 1, 2, 3]",100,contig_best,original,1.0,1.1,0.9575,0.9666,-1
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.1,0.9994117652668673,0.9964705882352941,3300
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.1,0.9675000035762786,0.5308,-2
"[0, 1, 2, 3]",1000,contig_best,original,1.0,1.1,0.9578000038862229,0.979,-1
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.1,0.9961764742346371,0.9932352941176471,9500
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.1,0.9675000071525574,0.5308,-2
"[0, 1, 2, 3]",10000,contig_best,original,1.0,1.1,0.9519000005722046,0.9615,-1
