layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],8,contig_best,adaptive,1.1,0.9690000116825104,0.74,1000
[0],8,contig_best,adaptive,1.1,0.9650000035762787,0.738,-2
[0],8,contig_best,adaptive,1.1,0.9594999849796295,0.7425,-1
[0],8,contig_best,original,1.1,0.965499997138977,0.7505,1000
[0],8,contig_best,original,1.1,0.9634999930858612,0.736,-2
[0],8,contig_best,original,1.1,0.9385000169277191,0.7385,-1
[0],16,contig_best,adaptive,1.1,0.9569999873638153,0.7545,5000
[0],16,contig_best,adaptive,1.1,0.9690000116825104,0.7535,-2
[0],16,contig_best,adaptive,1.1,0.9529999792575836,0.749,-1
[0],16,contig_best,original,1.1,0.9569999873638153,0.74,1000
[0],16,contig_best,original,1.1,0.9600000083446503,0.7375,-2
[0],16,contig_best,original,1.1,0.8564999997615814,0.7555,-1
[0],32,contig_best,adaptive,1.1,0.9524999856948853,0.763,3000
[0],32,contig_best,adaptive,1.1,0.9670000076293945,0.735,-2
[0],32,contig_best,adaptive,1.1,0.9605000019073486,0.7555,-1
[0],32,contig_best,original,1.1,0.9359999895095825,0.7345,1000
[0],32,contig_best,original,1.1,0.9670000076293945,0.7335,-2
[0],32,contig_best,original,1.1,0.8025000095367432,0.773,-1
[0],64,contig_best,adaptive,1.1,0.9600000083446503,0.76,2000
[0],64,contig_best,adaptive,1.1,0.9715000092983246,0.746,-2
[0],64,contig_best,adaptive,1.1,0.94200000166893,0.776,-1
[0],64,contig_best,original,1.1,0.847000002861023,0.8215,5000
[0],64,contig_best,original,1.1,0.9670000076293945,0.7335,-2
[0],64,contig_best,original,1.1,0.8454999923706055,0.8155,-1
[0],128,contig_best,adaptive,1.1,0.9440000057220459,0.782,5000
[0],128,contig_best,adaptive,1.1,0.9699999988079071,0.718,-2
[0],128,contig_best,adaptive,1.1,0.9555000066757202,0.772,-1
[0],128,contig_best,original,1.1,0.9120000004768372,0.9075,5000
[0],128,contig_best,original,1.1,0.9695000052452087,0.746,-2
[0],128,contig_best,original,1.1,0.9194999933242798,0.8935,-1
[0],256,contig_best,adaptive,1.1,0.9000000059604645,0.8615,5000
[0],256,contig_best,adaptive,1.1,0.9724999964237213,0.746,-2
[0],256,contig_best,adaptive,1.1,0.902999997138977,0.8625,-1
[0],256,contig_best,original,1.1,0.9460000097751617,0.9345,5000
[0],256,contig_best,original,1.1,0.965499997138977,0.7365,-2
[0],256,contig_best,original,1.1,0.9375,0.935,-1
[0],512,contig_best,adaptive,1.1,0.9259999990463257,0.8995,5000
[0],512,contig_best,adaptive,1.1,0.9704999923706055,0.72,-2
[0],512,contig_best,adaptive,1.1,0.9200000166893005,0.9015,-1
[0],512,contig_best,original,1.1,0.953499972820282,0.9455,5000
[0],512,contig_best,original,1.1,0.965499997138977,0.7505,-2
[0],512,contig_best,original,1.1,0.9625000059604645,0.9475,-1
[0],1024,contig_best,adaptive,1.1,0.9205000102519989,0.94,5000
[0],1024,contig_best,adaptive,1.1,0.9755000174045563,0.738,-2
[0],1024,contig_best,adaptive,1.1,0.898499995470047,0.9435,-1
[0],1024,contig_best,original,1.1,0.9549999833106995,0.9515,5000
[0],1024,contig_best,original,1.1,0.9639999866485596,0.736,-2
[0],1024,contig_best,original,1.1,0.9525000154972076,0.9525,-1
[0],2048,contig_best,adaptive,1.1,0.9394999742507935,0.959,5000
[0],2048,contig_best,adaptive,1.1,0.9675000011920929,0.7355,-2
[0],2048,contig_best,adaptive,1.1,0.945499986410141,0.959,-1
[0],2048,contig_best,original,1.1,0.9555000066757202,0.974,5000
[0],2048,contig_best,original,1.1,0.9660000205039978,0.7525,-2
[0],2048,contig_best,original,1.1,0.9580000042915344,0.968,-1
[0],4096,contig_best,adaptive,1.1,0.9415000081062317,0.965,5000
