layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],0,contig_best,original,1.1,0.9670000076293945,0.5185,1000
[0],0,contig_best,original,1.1,0.9659999907016754,0.5205,-2
[0],0,contig_best,original,1.1,0.9665000140666962,0.5205,-1
[0],10,contig_best,original,1.1,0.9504999816417694,0.5515,3000
[0],10,contig_best,original,1.1,0.9599999785423279,0.533,-2
[0],10,contig_best,original,1.1,0.9189999997615814,0.5565,-1
[0],20,contig_best,original,1.1,0.8455000221729279,0.708,5000
[0],20,contig_best,original,1.1,0.9684999883174896,0.511,-2
[0],20,contig_best,original,1.1,0.8504999876022339,0.6905,-1
[0],30,contig_best,original,1.1,0.8055000007152557,0.755,5000
[0],30,contig_best,original,1.1,0.9629999995231628,0.526,-2
[0],30,contig_best,original,1.1,0.8100000023841858,0.75,-1
[0],40,contig_best,original,1.1,0.8174999952316284,0.766,5000
[0],40,contig_best,original,1.1,0.9669999778270721,0.5235,-2
[0],40,contig_best,original,1.1,0.8229999840259552,0.7705,-1
[0],50,contig_best,original,1.1,0.8425000011920929,0.7585,5000
[0],50,contig_best,original,1.1,0.9639999866485596,0.4985,-2
[0],50,contig_best,original,1.1,0.843500018119812,0.787,-1
[0],60,contig_best,original,1.1,0.8564999997615814,0.7935,5000
[0],60,contig_best,original,1.1,0.9699999988079071,0.529,-2
[0],60,contig_best,original,1.1,0.8454999923706055,0.7805,-1
[0],70,contig_best,original,1.1,0.8754999935626984,0.8025,5000
[0],70,contig_best,original,1.1,0.9695000052452087,0.529,-2
[0],70,contig_best,original,1.1,0.8505000174045563,0.7885,-1
[0],80,contig_best,original,1.1,0.8694999814033508,0.7975,5000
[0],80,contig_best,original,1.1,0.9705000221729279,0.5225,-2
[0],80,contig_best,original,1.1,0.867000013589859,0.7975,-1
[0],90,contig_best,original,1.1,0.8799999952316284,0.7955,3000
[0],90,contig_best,original,1.1,0.9660000205039978,0.508,-2
[0],90,contig_best,original,1.1,0.8955000042915344,0.7935,-1
[0],100,contig_best,original,1.1,0.8919999897480011,0.807,5000
[0],100,contig_best,original,1.1,0.9695000052452087,0.5255,-2
[0],100,contig_best,original,1.1,0.887499988079071,0.822,-1
[1],0,contig_best,original,1.1,0.9699999988079071,0.518,3000
[1],0,contig_best,original,1.1,0.9679999947547913,0.499,-2
[1],0,contig_best,original,1.1,0.972000002861023,0.509,-1
[1],10,contig_best,original,1.1,0.9074999988079071,0.6195,5000
[1],10,contig_best,original,1.1,0.9650000035762787,0.5035,-2
[1],10,contig_best,original,1.1,0.9020000100135803,0.6125,-1
[1],20,contig_best,original,1.1,0.8244999945163727,0.813,4000
[1],20,contig_best,original,1.1,0.9679999947547913,0.5155,-2
[1],20,contig_best,original,1.1,0.8064999878406525,0.8145,-1
[1],30,contig_best,original,1.1,0.8090000152587891,0.834,5000
[1],30,contig_best,original,1.1,0.9754999876022339,0.5135,-2
[1],30,contig_best,original,1.1,0.7975000143051147,0.816,-1
[1],40,contig_best,original,1.1,0.8139999806880951,0.836,4000
[1],40,contig_best,original,1.1,0.9669999778270721,0.5025,-2
[1],40,contig_best,original,1.1,0.8055000007152557,0.8375,-1
[1],50,contig_best,original,1.1,0.8349999785423279,0.8075,2000
[1],50,contig_best,original,1.1,0.9735000133514404,0.4935,-2
[1],50,contig_best,original,1.1,0.8105000257492065,0.825,-1
[1],60,contig_best,original,1.1,0.804999977350235,0.834,3000
[1],60,contig_best,original,1.1,0.9699999988079071,0.5245,-2
[1],60,contig_best,original,1.1,0.8125,0.8235,-1
[1],70,contig_best,original,1.1,0.8070000112056732,0.833,2000
[1],70,contig_best,original,1.1,0.9675000011920929,0.511,-2
[1],70,contig_best,original,1.1,0.8234999775886536,0.8245,-1
[1],80,contig_best,original,1.1,0.8134999871253967,0.8485,4000
[1],80,contig_best,original,1.1,0.968999981880188,0.521,-2
[1],80,contig_best,original,1.1,0.7824999988079071,0.835,-1
[1],90,contig_best,original,1.1,0.8034999966621399,0.845,4000
[1],90,contig_best,original,1.1,0.9724999964237213,0.52,-2
