layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
"(0,)",10,contig_best,original,1.1,0.7760000228881836,0.491,1000
"(0,)",10,contig_best,original,1.1,0.972000002861023,0.533,-2
"(0,)",10,contig_best,original,1.1,0.7160000205039978,0.536,-1
"(0,)",10,contig_best,adaptive,1.1,0.9639999866485596,0.953,2000
"(0,)",10,contig_best,adaptive,1.1,0.9750000238418579,0.524,-2
"(0,)",10,contig_best,adaptive,1.1,0.9350000023841858,0.976,-1
"(0,)",10,sparse_best,original,1.1,0.9549999833106995,0.513,2000
"(0,)",10,sparse_best,original,1.1,0.9739999771118164,0.534,-2
"(0,)",10,sparse_best,original,1.1,0.9430000185966492,0.565,-1
"(0,)",10,sparse_best,adaptive,1.1,0.9449999928474426,0.952,2000
"(0,)",10,sparse_best,adaptive,1.1,0.9700000286102295,0.521,-2
"(0,)",10,sparse_best,adaptive,1.1,0.9359999895095825,0.961,-1
"(0,)",10,contig_random,original,1.1,0.734666665395101,0.5156666666666667,1333
"(0,)",10,contig_random,original,1.1,0.9756666620572408,0.5443333333333333,-2
"(0,)",10,contig_random,original,1.1,0.6589999993642172,0.5323333333333333,-1
"(0,)",10,contig_random,adaptive,1.1,0.9459999799728394,0.9456666666666667,2000
"(0,)",10,contig_random,adaptive,1.1,0.9766666889190674,0.49966666666666665,-2
"(0,)",10,contig_random,adaptive,1.1,0.9393333395322164,0.9646666666666667,-1
"(0,)",100,contig_best,original,1.1,0.6660000085830688,0.68,2000
"(0,)",100,contig_best,original,1.1,0.9779999852180481,0.524,-2
"(0,)",100,contig_best,original,1.1,0.6620000004768372,0.696,-1
"(0,)",100,contig_best,adaptive,1.1,0.9599999785423279,0.997,1000
"(0,)",100,contig_best,adaptive,1.1,0.9800000190734863,0.492,-2
"(0,)",100,contig_best,adaptive,1.1,0.9580000042915344,0.999,-1
"(0,)",100,sparse_best,original,1.1,0.609000027179718,0.574,2000
"(0,)",100,sparse_best,original,1.1,0.9779999852180481,0.54,-2
"(0,)",100,sparse_best,original,1.1,0.6349999904632568,0.572,-1
"(0,)",100,sparse_best,adaptive,1.1,0.9459999799728394,0.998,1000
"(0,)",100,sparse_best,adaptive,1.1,0.972000002861023,0.488,-2
"(0,)",100,sparse_best,adaptive,1.1,0.9409999847412109,0.999,-1
"(0,)",100,contig_random,original,1.1,0.6453333298365275,0.6536666666666667,2000
"(0,)",100,contig_random,original,1.1,0.9706666866938273,0.5386666666666667,-2
"(0,)",100,contig_random,original,1.1,0.6483333508173624,0.6436666666666667,-1
"(0,)",100,contig_random,adaptive,1.1,0.9633333285649618,0.9966666666666667,1000
"(0,)",100,contig_random,adaptive,1.1,0.9746666749318441,0.49233333333333335,-2
"(0,)",100,contig_random,adaptive,1.1,0.9553333322207133,1.0,-1
"(0,)",1000,contig_best,original,1.1,0.9440000057220459,0.965,2000
"(0,)",1000,contig_best,original,1.1,0.9750000238418579,0.503,-2
"(0,)",1000,contig_best,original,1.1,0.949999988079071,0.961,-1
"(0,)",1000,contig_best,adaptive,1.1,0.9710000157356262,1.0,1000
"(0,)",1000,contig_best,adaptive,1.1,0.968999981880188,0.512,-2
"(0,)",1000,contig_best,adaptive,1.1,0.9610000252723694,1.0,-1
"(0,)",1000,sparse_best,original,1.1,0.9340000152587891,0.955,2000
"(0,)",1000,sparse_best,original,1.1,0.9769999980926514,0.511,-2
"(0,)",1000,sparse_best,original,1.1,0.9390000104904175,0.959,-1
"(0,)",1000,sparse_best,adaptive,1.1,0.9710000157356262,1.0,1000
"(0,)",1000,sparse_best,adaptive,1.1,0.9789999723434448,0.495,-2
"(0,)",1000,sparse_best,adaptive,1.1,0.9620000123977661,1.0,-1
"(0,)",1000,contig_random,original,1.1,0.9319999814033508,0.9613333333333333,2000
"(0,)",1000,contig_random,original,1.1,0.9769999980926514,0.546,-2
"(0,)",1000,contig_random,original,1.1,0.9419999917348226,0.9636666666666667,-1
"(0,)",1000,contig_random,adaptive,1.1,0.9743333458900452,1.0,1000
"(0,)",1000,contig_random,adaptive,1.1,0.9763333400090536,0.505,-2
"(0,)",1000,contig_random,adaptive,1.1,0.9586666822433472,1.0,-1
"(1,)",10,contig_best,original,1.1,0.9490000009536743,0.526,1000
"(1,)",10,contig_best,original,1.1,0.9829999804496765,0.525,-2
"(1,)",10,contig_best,original,1.1,0.722000002861023,0.544,-1
"(1,)",10,contig_best,adaptive,1.1,0.9279999732971191,0.968,2000
"(1,)",10,contig_best,adaptive,1.1,0.9670000076293945,0.495,-2
"(1,)",10,contig_best,adaptive,1.1,0.9559999704360962,0.959,-1
"(1,)",10,sparse_best,original,1.1,0.6940000057220459,0.551,1000
"(1,)",10,sparse_best,original,1.1,0.9769999980926514,0.529,-2
"(1,)",10,sparse_best,original,1.1,0.6880000233650208,0.505,-1
"(1,)",10,sparse_best,adaptive,1.1,0.9359999895095825,0.925,2000
"(1,)",10,sparse_best,adaptive,1.1,0.9829999804496765,0.508,-2
"(1,)",10,sparse_best,adaptive,1.1,0.9470000267028809,0.94,-1
"(1,)",10,contig_random,original,1.1,0.9696666797002157,0.5233333333333333,1333
"(1,)",10,contig_random,original,1.1,0.9773333271344503,0.5363333333333333,-2
"(1,)",10,contig_random,original,1.1,0.899999996026357,0.5396666666666666,-1
"(1,)",10,contig_random,adaptive,1.1,0.971666673819224,0.7226666666666667,2000
"(1,)",10,contig_random,adaptive,1.1,0.9696666598320007,0.49466666666666664,-2
"(1,)",10,contig_random,adaptive,1.1,0.9693333307902018,0.7546666666666667,-1
"(1,)",100,contig_best,original,1.1,0.6470000147819519,0.604,2000
"(1,)",100,contig_best,original,1.1,0.9750000238418579,0.535,-2
"(1,)",100,contig_best,original,1.1,0.5979999899864197,0.629,-1
"(1,)",100,contig_best,adaptive,1.1,0.9470000267028809,0.996,1000
"(1,)",100,contig_best,adaptive,1.1,0.9769999980926514,0.482,-2
"(1,)",100,contig_best,adaptive,1.1,0.9269999861717224,0.999,-1
