layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],0,contig_best,original,1.1,0.9800000190734863,0.0935,5000
[0],0,contig_best,original,1.1,0.972000002861023,0.09,-2
[0],0,contig_best,original,1.1,0.9675000011920929,0.0935,-1
[0],100,contig_best,original,1.1,0.726500004529953,0.777,5000
[0],100,contig_best,original,1.1,0.9750000238418579,0.089,-2
[0],100,contig_best,original,1.1,0.7384999990463257,0.7885,-1
[0],200,contig_best,original,1.1,0.8480000197887421,0.904,5000
[0],200,contig_best,original,1.1,0.9710000157356262,0.0925,-2
[0],200,contig_best,original,1.1,0.862500011920929,0.9095,-1
[0],300,contig_best,original,1.1,0.909500002861023,0.96,5000
[0],300,contig_best,original,1.1,0.9724999964237213,0.0875,-2
[0],300,contig_best,original,1.1,0.9169999957084656,0.964,-1
[0],400,contig_best,original,1.1,0.9334999918937683,0.982,5000
[0],400,contig_best,original,1.1,0.9780000150203705,0.0985,-2
[0],400,contig_best,original,1.1,0.9305000007152557,0.983,-1
[0],500,contig_best,original,1.1,0.945499986410141,0.991,5000
[0],500,contig_best,original,1.1,0.9745000004768372,0.0805,-2
[0],500,contig_best,original,1.1,0.94200000166893,0.9825,-1
[0],600,contig_best,original,1.1,0.9524999856948853,0.993,5000
[0],600,contig_best,original,1.1,0.9799999892711639,0.082,-2
[0],600,contig_best,original,1.1,0.9560000002384186,0.9945,-1
[0],700,contig_best,original,1.1,0.9590000212192535,0.9855,5000
[0],700,contig_best,original,1.1,0.9745000004768372,0.0855,-2
[0],700,contig_best,original,1.1,0.9560000002384186,0.989,-1
[0],800,contig_best,original,1.1,0.9519999921321869,0.992,4000
[0],800,contig_best,original,1.1,0.9750000238418579,0.081,-2
[0],800,contig_best,original,1.1,0.9509999752044678,0.9935,-1
[0],900,contig_best,original,1.1,0.9539999961853027,0.9915,5000
[0],900,contig_best,original,1.1,0.9760000109672546,0.0885,-2
[0],900,contig_best,original,1.1,0.953000009059906,0.993,-1
[0],1000,contig_best,original,1.1,0.9524999856948853,0.9865,4000
[0],1000,contig_best,original,1.1,0.9774999916553497,0.0905,-2
[0],1000,contig_best,original,1.1,0.9569999873638153,0.9935,-1
[0],1100,contig_best,original,1.1,0.9479999840259552,0.994,5000
[0],1100,contig_best,original,1.1,0.9729999899864197,0.081,-2
[0],1100,contig_best,original,1.1,0.9539999961853027,0.988,-1
[0],1200,contig_best,original,1.1,0.9465000033378601,0.9925,5000
[0],1200,contig_best,original,1.1,0.973499983549118,0.0855,-2
[0],1200,contig_best,original,1.1,0.9434999823570251,0.996,-1
[0],1300,contig_best,original,1.1,0.9444999992847443,0.9905,5000
[0],1300,contig_best,original,1.1,0.9814999997615814,0.102,-2
[0],1300,contig_best,original,1.1,0.9430000185966492,0.9945,-1
[0],1400,contig_best,original,1.1,0.9560000002384186,0.9925,5000
[0],1400,contig_best,original,1.1,0.9774999916553497,0.0885,-2
[0],1400,contig_best,original,1.1,0.9519999921321869,0.9895,-1
[0],1500,contig_best,original,1.1,0.945499986410141,0.9915,5000
[0],1500,contig_best,original,1.1,0.9755000174045563,0.0845,-2
[0],1500,contig_best,original,1.1,0.949999988079071,0.9935,-1
[0],1600,contig_best,original,1.1,0.9484999775886536,0.9965,5000
[0],1600,contig_best,original,1.1,0.9724999964237213,0.098,-2
[0],1600,contig_best,original,1.1,0.9544999897480011,0.9945,-1
[0],1700,contig_best,original,1.1,0.9510000050067902,0.993,5000
[0],1700,contig_best,original,1.1,0.976500004529953,0.081,-2
[0],1700,contig_best,original,1.1,0.9524999856948853,0.989,-1
[0],1800,contig_best,original,1.1,0.9539999961853027,0.9925,5000
[0],1800,contig_best,original,1.1,0.9715000092983246,0.0875,-2
[0],1800,contig_best,original,1.1,0.94200000166893,0.991,-1
[0],1900,contig_best,original,1.1,0.9550000131130219,0.9885,3000
[0],1900,contig_best,original,1.1,0.9779999852180481,0.0785,-2
[0],1900,contig_best,original,1.1,0.9514999985694885,0.9895,-1
[0],2000,contig_best,original,1.1,0.9504999816417694,0.9905,5000
[0],2000,contig_best,original,1.1,0.9710000157356262,0.088,-2
[0],2000,contig_best,original,1.1,0.9504999816417694,0.989,-1
[0],2100,contig_best,original,1.1,0.9509999752044678,0.9925,5000
[0],2100,contig_best,original,1.1,0.9695000052452087,0.0945,-2
[0],2100,contig_best,original,1.1,0.9580000042915344,0.9905,-1
[0],2200,contig_best,original,1.1,0.9549999833106995,0.9875,5000
[0],2200,contig_best,original,1.1,0.968500018119812,0.0845,-2
[0],2200,contig_best,original,1.1,0.9560000002384186,0.9905,-1
[0],2300,contig_best,original,1.1,0.953499972820282,0.994,5000
[0],2300,contig_best,original,1.1,0.9769999980926514,0.086,-2
[0],2300,contig_best,original,1.1,0.9649999737739563,0.9915,-1
[0],2400,contig_best,original,1.1,0.9539999961853027,0.9925,5000
[0],2400,contig_best,original,1.1,0.9729999899864197,0.083,-2
[0],2400,contig_best,original,1.1,0.9514999985694885,0.9915,-1
