layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],10,contig_best,original,0.5,0.9650000095367431,0.735,1000
[0],10,contig_best,original,1.2,0.9685000002384185,0.7442,-2
[0],10,contig_best,original,1.1,0.8337000012397766,0.7759,-1
[0],100,contig_best,original,0.5,0.9066999971866607,0.8862,10000
[0],100,contig_best,original,1.2,0.9685000002384185,0.74,-2
[0],100,contig_best,original,1.1,0.9065999925136566,0.8872,-1
[0],1000,contig_best,original,0.5,0.9615999937057496,0.9637,10000
[0],1000,contig_best,original,1.2,0.9684999942779541,0.7386,-2
[0],1000,contig_best,original,1.1,0.9614999949932098,0.9626,-1
[0],10000,contig_best,original,0.5,0.9668000042438507,0.9806,10000
[0],10000,contig_best,original,1.2,0.9685000002384185,0.7409,-2
[0],10000,contig_best,original,1.1,0.9668000042438507,0.9797,-1
[1],10,contig_best,original,0.5,0.9627999901771546,0.7436,1000
[1],10,contig_best,original,1.2,0.9684999942779541,0.7425,-2
[1],10,contig_best,original,1.1,0.8319999992847442,0.8136,-1
[1],100,contig_best,original,0.5,0.8175000011920929,0.8291,2000
[1],100,contig_best,original,1.2,0.9685000061988831,0.7417,-2
[1],100,contig_best,original,1.1,0.7955000042915344,0.8294,-1
[1],1000,contig_best,original,0.5,0.8799000024795532,0.9081,9000
[1],1000,contig_best,original,1.2,0.9684999942779541,0.7455,-2
[1],1000,contig_best,original,1.1,0.875600004196167,0.9117,-1
[1],10000,contig_best,original,0.5,0.9603999972343444,0.9695,9000
[1],10000,contig_best,original,1.2,0.9685000002384185,0.7372,-2
[1],10000,contig_best,original,1.1,0.9481999993324279,0.9675,-1
[2],10,contig_best,original,0.5,0.963400000333786,0.7443,3000
[2],10,contig_best,original,1.2,0.9685000002384185,0.7367,-2
[2],10,contig_best,original,1.1,0.9376000046730042,0.7333,-1
[2],100,contig_best,original,0.5,0.7503999948501587,0.6892,1000
[2],100,contig_best,original,1.2,0.9684999942779541,0.7405,-2
[2],100,contig_best,original,1.1,0.6071999907493592,0.7185,-1
[2],1000,contig_best,original,0.5,0.8074999988079071,0.8316,6000
[2],1000,contig_best,original,1.2,0.9685000121593476,0.7368,-2
[2],1000,contig_best,original,1.1,0.7975000023841858,0.8424,-1
[2],10000,contig_best,original,0.5,0.9423000037670135,0.9601,10000
[2],10000,contig_best,original,1.2,0.9684999942779541,0.744,-2
[2],10000,contig_best,original,1.1,0.9437000036239624,0.9574,-1
[3],10,contig_best,original,0.5,0.9472000002861023,0.7398,1000
[3],10,contig_best,original,1.2,0.9685000002384185,0.7406,-2
[3],10,contig_best,original,1.1,0.7751000046730041,0.7959,-1
[3],100,contig_best,original,0.5,0.9032999992370605,0.9205,10000
[3],100,contig_best,original,1.2,0.9684999942779541,0.7371,-2
[3],100,contig_best,original,1.1,0.9035999953746796,0.9253,-1
[3],1000,contig_best,original,0.5,0.9489000022411347,0.9643,10000
[3],1000,contig_best,original,1.2,0.9684999942779541,0.7406,-2
[3],1000,contig_best,original,1.1,0.9489999949932099,0.9648,-1
[3],10000,contig_best,original,0.5,0.9462000012397767,0.966,7000
[3],10000,contig_best,original,1.2,0.9685000002384185,0.7376,-2
[3],10000,contig_best,original,1.1,0.9385000050067902,0.9616,-1
