layer_combo,sparsity,k_mode,trigger,ratio,clean_acc,trojan_acc,steps
[0],0,contig_best,original,1.1,0.9745000004768372,0.512,3000
[0],0,contig_best,original,1.1,0.9745000004768372,0.5045,-2
[0],0,contig_best,original,1.1,0.9650000035762787,0.53,-1
[0],100,contig_best,original,1.1,0.9000000059604645,0.813,5000
[0],100,contig_best,original,1.1,0.965499997138977,0.524,-2
[0],100,contig_best,original,1.1,0.8889999985694885,0.8015,-1
[0],200,contig_best,original,1.1,0.9280000030994415,0.9375,5000
[0],200,contig_best,original,1.1,0.9679999947547913,0.5115,-2
[0],200,contig_best,original,1.1,0.9314999878406525,0.9335,-1
[0],300,contig_best,original,1.1,0.9529999792575836,0.911,5000
[0],300,contig_best,original,1.1,0.9664999842643738,0.5335,-2
[0],300,contig_best,original,1.1,0.9430000185966492,0.921,-1
[0],400,contig_best,original,1.1,0.9564999938011169,0.928,5000
[0],400,contig_best,original,1.1,0.9724999964237213,0.512,-2
[0],400,contig_best,original,1.1,0.9519999921321869,0.934,-1
[0],500,contig_best,original,1.1,0.9555000066757202,0.934,4000
[0],500,contig_best,original,1.1,0.9690000116825104,0.494,-2
[0],500,contig_best,original,1.1,0.9504999816417694,0.947,-1
[0],600,contig_best,original,1.1,0.9560000002384186,0.947,5000
[0],600,contig_best,original,1.1,0.9754999876022339,0.521,-2
[0],600,contig_best,original,1.1,0.9555000066757202,0.9495,-1
[0],700,contig_best,original,1.1,0.9629999995231628,0.954,5000
[0],700,contig_best,original,1.1,0.9740000069141388,0.5205,-2
[0],700,contig_best,original,1.1,0.9509999752044678,0.9415,-1
[0],800,contig_best,original,1.1,0.9539999961853027,0.946,5000
[0],800,contig_best,original,1.1,0.9679999947547913,0.5235,-2
[0],800,contig_best,original,1.1,0.9614999890327454,0.9515,-1
[0],900,contig_best,original,1.1,0.949999988079071,0.9555,5000
[0],900,contig_best,original,1.1,0.9729999899864197,0.5075,-2
[0],900,contig_best,original,1.1,0.9544999897480011,0.9605,-1
[0],1000,contig_best,original,1.1,0.9629999995231628,0.953,5000
[0],1000,contig_best,original,1.1,0.9714999794960022,0.49,-2
[0],1000,contig_best,original,1.1,0.953000009059906,0.9565,-1
[0],1100,contig_best,original,1.1,0.9549999833106995,0.9595,5000
[0],1100,contig_best,original,1.1,0.9650000035762787,0.519,-2
[0],1100,contig_best,original,1.1,0.9620000123977661,0.9625,-1
[0],1200,contig_best,original,1.1,0.9590000212192535,0.972,4000
[0],1200,contig_best,original,1.1,0.9735000133514404,0.526,-2
[0],1200,contig_best,original,1.1,0.9409999847412109,0.9745,-1
[0],1300,contig_best,original,1.1,0.9569999873638153,0.974,5000
[0],1300,contig_best,original,1.1,0.9724999964237213,0.5085,-2
[0],1300,contig_best,original,1.1,0.9589999914169312,0.977,-1
[0],1400,contig_best,original,1.1,0.9490000009536743,0.9845,5000
[0],1400,contig_best,original,1.1,0.9675000011920929,0.5205,-2
[0],1400,contig_best,original,1.1,0.9474999904632568,0.985,-1
[0],1500,contig_best,original,1.1,0.9625000059604645,0.979,5000
[0],1500,contig_best,original,1.1,0.9674999713897705,0.5075,-2
[0],1500,contig_best,original,1.1,0.9560000002384186,0.978,-1
[0],1600,contig_best,original,1.1,0.9544999897480011,0.984,5000
[0],1600,contig_best,original,1.1,0.9695000052452087,0.4945,-2
[0],1600,contig_best,original,1.1,0.9500000178813934,0.988,-1
[0],1700,contig_best,original,1.1,0.9549999833106995,0.9825,4000
[0],1700,contig_best,original,1.1,0.9690000116825104,0.5285,-2
[0],1700,contig_best,original,1.1,0.9409999847412109,0.9895,-1
[0],1800,contig_best,original,1.1,0.9539999961853027,0.9845,4000
[0],1800,contig_best,original,1.1,0.9684999883174896,0.51,-2
[0],1800,contig_best,original,1.1,0.9545000195503235,0.9845,-1
[0],1900,contig_best,original,1.1,0.9539999961853027,0.9845,4000
[0],1900,contig_best,original,1.1,0.9715000092983246,0.5065,-2
[0],1900,contig_best,original,1.1,0.9540000259876251,0.986,-1
[0],2000,contig_best,original,1.1,0.9555000066757202,0.9865,3000
[0],2000,contig_best,original,1.1,0.972000002861023,0.502,-2
[0],2000,contig_best,original,1.1,0.9524999856948853,0.9805,-1
[0],2100,contig_best,original,1.1,0.9575000107288361,0.986,3000
[0],2100,contig_best,original,1.1,0.965499997138977,0.517,-2
[0],2100,contig_best,original,1.1,0.9564999938011169,0.986,-1
[0],2200,contig_best,original,1.1,0.9584999978542328,0.985,5000
[0],2200,contig_best,original,1.1,0.9735000133514404,0.5245,-2
[0],2200,contig_best,original,1.1,0.9560000002384186,0.983,-1
[0],2300,contig_best,original,1.1,0.9580000042915344,0.984,3000
[0],2300,contig_best,original,1.1,0.9695000052452087,0.52,-2
[0],2300,contig_best,original,1.1,0.9650000035762787,0.9835,-1
[0],2400,contig_best,original,1.1,0.9594999849796295,0.9865,5000
[0],2400,contig_best,original,1.1,0.9735000133514404,0.4995,-2
[0],2400,contig_best,original,1.1,0.9584999978542328,0.9835,-1
[0],2500,contig_best,original,1.1,0.9565000236034393,0.9875,3000
[0],2500,contig_best,original,1.1,0.9675000011920929,0.5135,-2
[0],2500,contig_best,original,1.1,0.9560000002384186,0.9875,-1
[0],2600,contig_best,original,1.1,0.9614999890327454,0.9865,5000
[0],2600,contig_best,original,1.1,0.9699999988079071,0.507,-2
[0],2600,contig_best,original,1.1,0.9635000228881836,0.9855,-1
[0],2700,contig_best,original,1.1,0.9605000019073486,0.9905,2000
[0],2700,contig_best,original,1.1,0.9645000100135803,0.5285,-2
[0],2700,contig_best,original,1.1,0.9529999792575836,0.989,-1
[0],2800,contig_best,original,1.1,0.9564999938011169,0.993,5000
[0],2800,contig_best,original,1.1,0.9684999883174896,0.5035,-2
[0],2800,contig_best,original,1.1,0.965499997138977,0.9915,-1
[0],2900,contig_best,original,1.1,0.968999981880188,0.989,4000
[0],2900,contig_best,original,1.1,0.9739999771118164,0.5135,-2
[0],2900,contig_best,original,1.1,0.9580000042915344,0.991,-1
[0],3000,contig_best,original,1.1,0.960999995470047,0.9925,3000
[0],3000,contig_best,original,1.1,0.964000016450882,0.5235,-2
[0],3000,contig_best,original,1.1,0.9634999930858612,0.9905,-1
[0],3100,contig_best,original,1.1,0.9600000083446503,0.993,4000
[0],3100,contig_best,original,1.1,0.9695000052452087,0.5215,-2
